품목코드,유형,품목명,플랜트,누락항목
7301432,상품,"MT100D-PB25S(체온계-점착부)",1210,마스터에 코드 없음
7301433,상품,"MT100D-CORE(웨어러블-체온계)",1210,마스터에 코드 없음
7301490,상품,"thynC/Monitor 32inch/널스 스테이션/대쉬보드",1210,마스터에 코드 없음
7301492,상품,"thynC/Monitor 60inch/널스 스테이션/대쉬보드",1210,마스터에 코드 없음
7301973,상품,"모비케어 일회용 일반 7일",1210,마스터에 코드 없음
7301974,상품,"모비케어 일회용 일반 3일",1210,마스터에 코드 없음
7302374,상품,"이지엔6이브 연질캡슐 10CP(알피바이오)",1210,마스터에 코드 없음
7302495,상품,"카트온 13호",1210,마스터에 코드 없음
7400097,상품,"임팩타임 에너지젤 5포",1210,마스터에 코드 없음
9301087,완제품,"DW_DWJ1451105 40/10/20/10밀리그램 시험약",1230,마스터에 코드 없음
9301088,완제품,"DW_DWJ1451105 대조약(세비카정/로수젯정)",1230,마스터에 코드 없음
9301266,완제품,"DW_DWJ1451104 20/5/10/10밀리그램 시험약",1230,마스터에 코드 없음
9301267,완제품,"DW_DWJ1451104 대조약(세비카정/로수젯정)",1230,마스터에 코드 없음
9302186,완제품,"중국_DWP14012306 Esomeprazole 40mg 대조약",1230,마스터에 코드 없음
9302727,완제품,"디옥타현탁액20ml 37포(DWB2001)_임상",1210,마스터에 코드 없음
9303065,완제품,"펙수클루정 20밀리그램 28T(PTP)",1230,마스터에 코드 없음
9303672,완제품,"DWJ1451정 20/10/2.5/10밀리그램 30T_Bottle",1230,마스터에 코드 없음
9303673,완제품,"DWJ1451정 20/5/20/10밀리그램 30T_Bottle",1230,마스터에 코드 없음
9303674,완제품,"DWJ1451정 20/5/5/10밀리그램 30T_Bottle",1230,마스터에 코드 없음
9303675,완제품,"DWJ1451정 40/5/10/10밀리그램 30T_Bottle",1230,마스터에 코드 없음
9303676,완제품,"DWJ1451정 40/5/2.5/10밀리그램 30T_Bottle",1230,마스터에 코드 없음
9303677,완제품,"DWJ1451정 40/5/5/10밀리그램 30T_Bottle",1230,마스터에 코드 없음
9305385,완제품,"DWJ1630 20mg 100T_병 의동용",1230,마스터에 코드 없음
9305386,완제품,"DWJ1629 10mg 100T_병 의동용",1230,마스터에 코드 없음
9305839,완제품,"IIT_FEAST 시험군",1230,마스터에 코드 없음
9305840,완제품,"IIT_FEAST 대조군",1230,마스터에 코드 없음
9305901,완제품,"DWJ1540 30mg 100T_병 의동용",1230,마스터에 코드 없음
9306123,완제품,"SUGR_HPE_IIT01 펙수클루정 40mg",1230,마스터에 코드 없음
9306124,완제품,"SUGR_HPE_IIT01 곰실린캡슐 500mg",1230,마스터에 코드 없음
9306459,완제품,"몬테비잘정 30T/용기 (약가 고시)",1230,마스터에 코드 없음
9306807,완제품,"DWJ1573101 시험군",1230,마스터에 코드 없음
9306808,완제품,"DWJ1573101 대조군",1230,마스터에 코드 없음
9307098,완제품,"펙수클루정40밀리그램 위약(인도) 28T(PTP)",1230,마스터에 코드 없음
9308637,완제품,"브리바탑정 10밀리그램 15정(PTP)",1230,마스터에 코드 없음
9308638,완제품,"브리바탑정 25밀리그램 15정(PTP)",1230,마스터에 코드 없음
9308639,완제품,"브리바탑정 50밀리그램 15정(PTP)",1230,마스터에 코드 없음
9308640,완제품,"브리바탑정 100밀리그램 15정(PTP)",1230,마스터에 코드 없음
9308670,완제품,"ENVLO 0.3mg film-coated tablets 56T(Ch)",1230,마스터에 코드 없음
9309187,완제품,"CMC_NAB_IIT01 무작위배정 (12EA/Box)",1230,마스터에 코드 없음
9309532,완제품,"DWP14012 중국 임상 시험약 (PTP)(28T/CASE)",1230,마스터에 코드 없음
9313433,완제품,"HGC_NASAIDS_IIT_시험군(펙수클루28T)",1230,마스터에 코드 없음
9313434,완제품,"HGC_NASAIDS_IIT_대조군(넥시어드28T)",1230,마스터에 코드 없음
9313830,완제품,"DW_DWJ1672101_대조약_완제품",1230,마스터에 코드 없음
9313831,완제품,"DW_DWJ1672101_시험약 완제품",1230,마스터에 코드 없음
9400498,완제품,"DWP16001311_2_V2_엔블로",1230,마스터에 코드 없음
9400499,완제품,"DWP16001311_3_V2_글루코",1230,마스터에 코드 없음
9400550,완제품,"DWP16001311_21_V5_글루코_2000",1230,마스터에 코드 없음
9400551,완제품,"DWP16001311_4_V2_병용군",1230,마스터에 코드 없음
9400552,완제품,"DWP16001311_5_V3_엔블로",1230,마스터에 코드 없음
9400553,완제품,"DWP16001311_20_V5_엔블로_2000",1230,마스터에 코드 없음
9400554,완제품,"DWP16001311_6_V3_글루코",1230,마스터에 코드 없음
9400555,완제품,"DWP16001311_7_V3_병용군",1230,마스터에 코드 없음
9400556,완제품,"DWP16001311_19_V5_병용군_1500",1230,마스터에 코드 없음
9400557,완제품,"DWP16001311_8_V4_엔블로_1000",1230,마스터에 코드 없음
9400558,완제품,"DWP16001311_9_V4_글루코_1000",1230,마스터에 코드 없음
9400559,완제품,"DWP16001311_18_V5_글루코_1500",1230,마스터에 코드 없음
9400560,완제품,"DWP16001311_10_V4_병용군_1000",1230,마스터에 코드 없음
9400561,완제품,"DWP16001311_11_V4_엔블로_1500",1230,마스터에 코드 없음
9400562,완제품,"DWP16001311_13_V4_병용군_1500",1230,마스터에 코드 없음
9400563,완제품,"DWP16001311_14_V5_엔블로_1000",1230,마스터에 코드 없음
9400564,완제품,"DWP16001311_12_V4_글루코_1500",1230,마스터에 코드 없음
9400565,완제품,"DWP16001311_1_도입기",1230,마스터에 코드 없음
9400566,완제품,"DWP16001311_15_V5_글루코_1000",1230,마스터에 코드 없음
9400567,완제품,"DWP16001311_16_V5_병용군_1000",1230,마스터에 코드 없음
9400568,완제품,"DWP16001311_17_V5_엔블로_1500",1230,마스터에 코드 없음
9400579,완제품,"DWP16001311_22_V5_병용군_2000",1230,마스터에 코드 없음
9400580,완제품,"DWP16001311_23_V6_엔블로_1000",1230,마스터에 코드 없음
9400581,완제품,"DWP16001311_24_V6_글루코_1000",1230,마스터에 코드 없음
9400582,완제품,"DWP16001311_25_V6_병용군_1000",1230,마스터에 코드 없음
9400583,완제품,"DWP16001311_27_V6_글루코_1500",1230,마스터에 코드 없음
9400584,완제품,"DWP16001311_28_V6_병용군_1500",1230,마스터에 코드 없음
9400585,완제품,"DWP16001311_29_V6_엔블로_2000",1230,마스터에 코드 없음
9400586,완제품,"DWP16001311_30_V6_글루코_2000",1230,마스터에 코드 없음
9400587,완제품,"DWP16001311_31_V6_병용군_2000",1230,마스터에 코드 없음
9400588,완제품,"DWP16001311_32_V7_엔블로_1000",1230,마스터에 코드 없음
9400589,완제품,"DWP16001311_34_V7_병용군_1000",1230,마스터에 코드 없음
9400590,완제품,"DWP16001311_26_V6_엔블로_1500",1230,마스터에 코드 없음
9400591,완제품,"DWP16001311_35_V7_엔블로_1500",1230,마스터에 코드 없음
9400592,완제품,"DWP16001311_36_V7_글루코_1500",1230,마스터에 코드 없음
9400593,완제품,"DWP16001311_37_V7_병용군_1500",1230,마스터에 코드 없음
9400594,완제품,"DWP16001311_38_V7_엔블로_2000",1230,마스터에 코드 없음
9400595,완제품,"DWP16001311_39_V7_글루코_2000",1230,마스터에 코드 없음
9400596,완제품,"DWP16001311_40_V7_병용군_2000",1230,마스터에 코드 없음
9400597,완제품,"DWP16001311_33_V7_글루코_1000",1230,마스터에 코드 없음
9400605,완제품,"ABCITO 40mg (SV) 28T",1230,마스터에 코드 없음
9401069,완제품,"SAVE-AS 엔블로정 시험약",1230,마스터에 코드 없음
9401070,완제품,"SAVE-AS 엔블로정 위약",1230,마스터에 코드 없음